,a,b,sim,len-a,len-b
47,13841.0,12230.0,0.6382978723404256,72.0,82.0
48,13841.0,12414.0,0.5462962962962963,72.0,95.0
49,13841.0,13378.0,0.6781609195402298,72.0,74.0
50,13841.0,13592.0,0.5656565656565656,72.0,83.0
51,13972.0,12100.0,0.5084745762711864,94.0,84.0
52,13972.0,12396.0,0.5267857142857143,94.0,77.0
53,13972.0,13648.0,0.5357142857142857,94.0,78.0
54,14115.0,12080.0,0.6702127659574468,64.0,93.0
55,14115.0,12231.0,0.5061728395061729,64.0,58.0
56,14115.0,12803.0,0.6463414634146342,64.0,71.0
57,14115.0,13433.0,0.581081081081081,64.0,53.0
58,14115.0,13567.0,0.5051546391752577,64.0,82.0
59,14119.0,12185.0,0.6329113924050633,72.0,57.0
60,14119.0,12230.0,0.6382978723404256,72.0,82.0
61,14119.0,12414.0,0.6057692307692307,72.0,95.0
62,14119.0,13378.0,0.6404494382022472,72.0,74.0
63,14119.0,13592.0,0.631578947368421,72.0,83.0
64,14119.0,13841.0,0.6179775280898876,72.0,72.0
65,14150.0,12414.0,0.5151515151515151,105.0,95.0
66,14150.0,12557.0,0.5043478260869565,105.0,68.0
67,14150.0,13592.0,0.5161290322580645,105.0,83.0
68,14150.0,14119.0,0.5258620689655172,105.0,72.0
69,14155.0,14145.0,0.6666666666666666,5.0,5.0
70,14237.0,12214.0,0.5586206896551724,115.0,111.0
71,14351.0,12640.0,0.6169154228855721,141.0,185.0
72,14351.0,13750.0,0.6230366492146597,141.0,169.0
73,14351.0,13832.0,0.5755813953488372,141.0,130.0
74,14705.0,13068.0,1.0,1.0,1.0
75,14877.0,12640.0,0.5961538461538461,148.0,185.0
76,14877.0,13750.0,0.6772486772486772,148.0,169.0
77,14877.0,13832.0,0.6069364161849711,148.0,130.0
78,14877.0,14351.0,0.7515151515151515,148.0,141.0
79,14937.0,14567.0,1.0,33.0,33.0
80,14982.0,12640.0,0.6,145.0,185.0
81,14982.0,13750.0,0.6051282051282051,145.0,169.0
82,14982.0,13832.0,0.5307262569832403,145.0,130.0
83,14982.0,14351.0,0.7168674698795181,145.0,141.0
84,14982.0,14877.0,0.7380952380952381,145.0,148.0
85,14987.0,14548.0,1.0,2.0,2.0
86,15098.0,13185.0,1.0,1.0,1.0
87,15448.0,12214.0,0.51875,132.0,111.0
88,15448.0,14237.0,0.5060975609756098,132.0,115.0
89,15488.0,14090.0,1.0,1.0,1.0
90,15534.0,12230.0,0.5567010309278351,69.0,82.0
91,15534.0,12414.0,0.5471698113207547,69.0,95.0
92,15534.0,13378.0,0.625,69.0,74.0
93,15534.0,13592.0,0.504950495049505,69.0,83.0
94,15534.0,13841.0,0.6588235294117647,69.0,72.0
95,15534.0,14119.0,0.6022727272727273,69.0,72.0
96,15562.0,13270.0,1.0,1.0,1.0
97,15649.0,13147.0,1.0,1.0,1.0
98,15649.0,13204.0,1.0,1.0,1.0
99,15659.0,12080.0,0.5241935483870968,96.0,93.0
100,15668.0,14090.0,1.0,1.0,1.0
101,15668.0,15488.0,1.0,1.0,1.0
102,15728.0,14371.0,0.6,4.0,4.0
103,15776.0,12214.0,0.5668789808917197,135.0,111.0
104,15776.0,14237.0,0.5337423312883436,135.0,115.0
105,15776.0,15448.0,0.5170454545454546,135.0,132.0
106,15941.0,14365.0,0.680672268907563,101.0,99.0
107,16078.0,13185.0,1.0,1.0,1.0
108,16078.0,15098.0,1.0,1.0,1.0
109,16104.0,13567.0,0.5317460317460317,111.0,82.0
110,16144.0,12603.0,1.0,1.0,1.0
111,16148.0,14090.0,1.0,1.0,1.0
112,16148.0,15488.0,1.0,1.0,1.0
113,16148.0,15668.0,1.0,1.0,1.0
114,16377.0,13848.0,0.6,5.0,3.0
115,16765.0,16692.0,1.0,1.0,1.0
