,LAG1,LAG2,LAG180,LAG365,MA3,MA5,MA7,MA30,MAP7-3,M-X,M-Y,DE-TREND,DATE
2562866,1.1116932953365541,0.5562531488510061,2.1323515188675977,-2.9574089142924382,0.4635451471884065,1.889586482184339,1.929384430936884,2.418806873337188,2.4614766898929323,False,False,-0.2773110026223371,2011-10-16
2562867,-0.2773110026223371,1.1116932953365541,6.410013887575371,-3.0686354344735527,0.35231862700728794,1.1228044064476663,1.6435547361525917,2.4742470198227378,2.3581866776483236,False,False,0.22257358830765028,2011-10-17
2562868,0.22257358830765028,-0.2773110026223371,5.632120700727583,-0.5131952879880011,0.46331432904839315,0.6115778862665486,1.5878837715270306,2.527835314456435,2.2152141257211753,False,False,1.4446804014598698,2011-10-18
2562869,1.4446804014598698,0.22257358830765028,0.7986719583242419,0.5978004140531041,1.8706063273857925,1.2892402549743196,1.5718953465840089,2.6092013868679103,1.9293844309368846,False,False,3.9445649923898607,2011-10-19
2562870,3.9445649923898607,1.4446804014598698,3.79855654925424,1.1532405605386522,-0.35173130390643514,-0.22198626520679773,0.07971644545051022,2.238715607427535,1.6435547361525924,False,False,-6.444439305569032,2011-10-20
2562871,-6.444439305569032,3.9445649923898607,5.13177447351757,0.6531251514686467,-2.981476342606071,-1.4554350076101379,-0.920398963619496,1.8404520502093804,1.587883771527031,False,False,-6.444554714639038,2011-10-21
2562872,-6.444554714639038,-6.444439305569032,4.298325731114232,-0.5692124798235838,-6.463073233157558,-2.7999948611245875,-2.007815959991089,1.4570033078060416,1.5718953465840093,False,False,-6.500225679264599,2011-10-22
2562873,-6.500225679264599,-6.444554714639038,5.075988099821998,-2.8471056666713643,-5.889114568153488,-4.033443603527926,-2.6428520039817305,1.1050360468841838,0.07971644545051047,False,False,-4.722563310556826,2011-10-23
2562874,-4.722563310556826,-6.500225679264599,6.409206024085329,0.26389003536973377,-4.537378125371642,-5.3002256792645985,-3.015983286067609,0.8252910081845483,-0.9203989636194956,False,False,-2.389345386293499,2011-10-24
2562875,-2.389345386293499,-4.722563310556826,6.575757281681987,3.7637746262997354,-3.315271312219425,-4.578118866112382,-3.6272098062487257,0.5251755991145425,-2.0078159599910888,False,False,-2.8339052398079474,2011-10-25
2562876,-2.8339052398079474,-2.389345386293499,2.131197428167539,4.76365921722973,-2.5931644990672083,-3.800456497404609,-4.55589664389016,0.2306157456000923,-2.64285200398173,False,False,-2.5562428711001743,2011-10-26
2562877,-2.5562428711001743,-2.8339052398079474,2.019970907986419,7.374654919270835,-1.6117984266557315,-2.389460795363503,-3.5560120529601646,0.006426262456012625,-3.0159832860676086,False,False,0.5547528309409309,2011-10-27
2562878,0.5547528309409309,-2.5562428711001743,1.908744387805303,7.04120617686749,-0.8896916135035156,-1.5784650933223978,-2.730730636633345,-0.22702247994732633,-3.6272098062487252,False,False,-0.6675848003512996,2011-10-28
2562879,-0.6675848003512996,0.5547528309409309,3.9641845342908546,0.3744241011308205,-1.723140355906855,-2.1119138357257365,-2.5244968393541436,-0.6141749260543691,-4.555896643890159,False,False,-5.056589098310193,2011-10-29
2562880,-5.056589098310193,-0.6675848003512996,3.6307357918875134,-4.681246863494739,-4.815848357569455,-3.289807022573521,-3.0960408198527216,-1.0994755203095603,-3.556012052960164,False,False,-8.72337117404687,2011-10-30
2562881,-8.72337117404687,-5.056589098310193,2.4639537161508365,-0.570251161453637,-7.019667470343165,-4.2343668760879725,-3.794568927335426,-1.336627966416603,-2.7307306366333433,False,False,-7.279042138672429,2011-10-31
2562882,-7.279042138672429,-8.72337117404687,-2.7583839151413834,-0.848144348301421,-7.4827458423761355,-5.634482285157978,-4.310557352278448,-1.3737804125236464,-2.5244968393541436,True,False,-6.445824214409102,2011-11-01
2562883,-6.445824214409102,-7.279042138672429,-1.5918326575447281,-4.070481979593646,-6.834713103297992,-6.856819916450206,-4.913847364523058,-1.4831550808529113,-3.096040819852721,True,False,-6.7792729568124415,2011-11-02
2562884,-6.7792729568124415,-6.445824214409102,0.35249637782971277,-4.626152944219207,-6.353347030886515,-7.0124908810757685,-5.826661186291476,-1.6054927121451392,-3.794568927335426,True,False,-5.834943921438001,2011-11-03
2562885,-5.834943921438001,-6.7792729568124415,3.4634920798708215,-3.737379464400327,-5.427536514030595,-6.001495179034663,-6.2553480239329105,-1.7074599730669968,-4.310557352278447,True,False,-3.66839266384134,2011-11-04
2562886,-3.66839266384134,-5.834943921438001,4.518932226356366,-6.515272651248111,-5.390614886063563,-5.879388365882446,-6.485622163161646,-1.940908715470336,-4.913847364523057,True,False,-6.6685080729113455,2011-11-05
2562887,-6.6685080729113455,-3.66839266384134,4.741039039508589,-10.682054726984783,-5.298137702540976,-5.701725997174673,-6.033356619850699,-2.1688019023181195,-5.826661186291476,True,False,-5.5575123708702385,2011-11-06
