target,month cycle,week cycle,1db,2db,3db,4db,5db,6db,7db,8db
-1786.813596,-543.38655354945,-204.763433880952,-396.124873,-428.43615,-777.747427,-497.058704,-486.369981,-2114.681258,-1588.992535,-714.303812
-2171.502319,-543.38655354945,-160.206125134921,-1786.813596,-396.124873,-428.43615,-777.747427,-497.058704,-486.369981,-2114.681258,-1588.992535
-494.191042,-543.38655354945,154.306603,-2171.502319,-1786.813596,-396.124873,-428.43615,-777.747427,-497.058704,-486.369981,-2114.681258
-840.879765,-543.38655354945,121.30588,-494.191042,-2171.502319,-1786.813596,-396.124873,-428.43615,-777.747427,-497.058704,-486.369981
-641.568488,-543.38655354945,18.145157,-840.879765,-494.191042,-2171.502319,-1786.813596,-396.124873,-428.43615,-777.747427,-497.058704
-561.257211,-543.38655354945,179.026710531746,-641.568488,-840.879765,-494.191042,-2171.502319,-1786.813596,-396.124873,-428.43615,-777.747427
-668.945934,-543.38655354945,-105.328679134921,-561.257211,-641.568488,-840.879765,-494.191042,-2171.502319,-1786.813596,-396.124873,-428.43615
-1544.634657,-543.38655354945,-204.763433880952,-668.945934,-561.257211,-641.568488,-840.879765,-494.191042,-2171.502319,-1786.813596,-396.124873
-1832.32338,-785.804231089888,-160.206125134921,-1544.634657,-668.945934,-561.257211,-641.568488,-840.879765,-494.191042,-2171.502319,-1786.813596
-162.012103,-785.804231089888,154.306603,-1832.32338,-1544.634657,-668.945934,-561.257211,-641.568488,-840.879765,-494.191042,-2171.502319
-641.700826,-785.804231089888,121.30588,-162.012103,-1832.32338,-1544.634657,-668.945934,-561.257211,-641.568488,-840.879765,-494.191042
-375.389549,-785.804231089888,18.145157,-641.700826,-162.012103,-1832.32338,-1544.634657,-668.945934,-561.257211,-641.568488,-840.879765
-515.078272,-785.804231089888,179.026710531746,-375.389549,-641.700826,-162.012103,-1832.32338,-1544.634657,-668.945934,-561.257211,-641.568488
-484.766995,-785.804231089888,-105.328679134921,-515.078272,-375.389549,-641.700826,-162.012103,-1832.32338,-1544.634657,-668.945934,-561.257211
-1367.455718,-785.804231089888,-204.763433880952,-484.766995,-515.078272,-375.389549,-641.700826,-162.012103,-1832.32338,-1544.634657,-668.945934
-1815.144441,-785.804231089888,-160.206125134921,-1367.455718,-484.766995,-515.078272,-375.389549,-641.700826,-162.012103,-1832.32338,-1544.634657
-21.8331640000001,-785.804231089888,154.306603,-1815.144441,-1367.455718,-484.766995,-515.078272,-375.389549,-641.700826,-162.012103,-1832.32338
-22.5218869999999,-785.804231089888,121.30588,-21.8331640000001,-1815.144441,-1367.455718,-484.766995,-515.078272,-375.389549,-641.700826,-162.012103
